"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"A-06G","CMG",0.00,1749265.79,439765.30,100.50,14843.87,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"BOTM","CMM",0.00,1751054.11,435051.35,100.50,2501.88,1276.00,26.51,33.20,0.00,0,35,0,0,35,1,0,1,,0,15,16.00,90.00,90.00,90.00,0.00,0
"A-06X","CMX",0.00,1763861.10,437060.22,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"A-07L","LW",250.00,1749475.88,439527.03,100.50,14303.20,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-07S","CMS",0.00,1763320.90,435740.57,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-07G","CMG",0.00,1749011.39,438392.68,100.50,14839.20,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"A-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-07X","CMX",0.00,1763602.11,435688.45,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-00G","CMG",0.00,1754821.61,469741.86,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"C-01L","LW",250.00,1755031.71,469503.58,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-01S","CMS",0.00,1767143.04,466038.44,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-00G","CMG",0.00,1752924.20,459504.34,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"B-01L","LW",250.00,1753134.30,459266.06,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-00G","CMG",0.00,1750792.19,448001.05,100.50,13367.07,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"A-01L","LW",250.00,1751002.29,447762.77,100.50,12831.07,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"A-01S","CMS",0.00,1763399.82,444244.59,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"A-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"A-01X","CMX",0.00,1763693.00,444190.25,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-01S","CMS",0.00,1765245.63,455800.92,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-01G","CMG",0.00,1752669.80,458131.71,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-01G","CMG",0.00,1754567.21,468369.24,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-01X","CMX",0.00,1767424.25,465986.32,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-02L","LW",250.00,1754777.31,468130.96,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-02S","CMS",0.00,1766888.64,464665.82,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"MW01","CMM",0.00,1750910.66,434250.08,280.50,33268.11,466.00,10.11,34.70,0.00,0,35,0,0,35,1,0,1,,0,6,16.00,90.00,90.00,90.00,0.00,0
"MS01","CMM",0.00,1718849.32,440204.19,190.45,13335.69,646.00,13.75,34.10,0.00,0,35,1,0,35,1,1,1,,0,8,16.00,90.00,90.00,90.00,0.00,0
"MN01","CMM",0.00,1747784.35,435317.04,10.50,35485.35,646.00,13.75,34.10,0.00,0,35,0,0,35,1,0,1,,0,8,16.00,90.00,90.00,90.00,0.00,0
"MN02","CMM",0.00,1718824.93,440680.31,10.50,7971.20,646.00,13.75,34.10,0.00,0,35,1,0,35,1,1,1,,0,8,16.00,90.00,90.00,90.00,0.00,0
"A-05L","LW",250.00,1749984.69,442272.28,100.50,14317.20,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"A-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-01X","CMX",0.00,1765526.84,455748.80,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-02L","LW",250.00,1752879.90,457893.44,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-02S","CMS",0.00,1764991.23,454428.30,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-02G","CMG",0.00,1752415.40,456759.09,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-02X","CMX",0.00,1765272.44,454376.18,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-03L","LW",250.00,1752625.50,456520.81,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-03S","CMS",0.00,1764736.83,453055.67,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-03G","CMG",0.00,1752161.00,455386.47,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-03X","CMX",0.00,1765018.04,453003.55,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-04L","LW",250.00,1752371.10,455148.19,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-04S","CMS",0.00,1764482.43,451683.05,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-04G","CMG",0.00,1751906.60,454013.84,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-04X","CMX",0.00,1764763.64,451630.93,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-05L","LW",250.00,1752116.69,453775.57,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-05S","CMS",0.00,1764228.03,450310.43,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-05G","CMG",0.00,1751652.20,452641.22,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
