"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"D-06G","CMG",0.00,1749382.41,443939.39,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-06X","CMX",0.00,1736073.07,446406.13,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-00G","CMG",0.00,1749999.66,447269.79,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,,0,3,16.00,90.00,180.00,60.00,0.00,1
"E-01L","LW",250.00,1749789.56,447508.06,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-00G",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-01S","CMS",0.00,1737225.93,451057.03,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-01L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-01G","CMG",0.00,1750254.06,448642.41,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-01S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-01X","CMX",0.00,1736944.72,451109.15,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-01G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-02L","LW",250.00,1750043.97,448880.69,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-01X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-02S","CMS",0.00,1737480.33,452429.65,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-02L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-02G","CMG",0.00,1750508.46,450015.03,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-02X","CMX",0.00,1737199.12,452481.77,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-03L","LW",250.00,1750298.37,450253.31,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-03S","CMS",0.00,1737734.74,453802.28,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-03G","CMG",0.00,1750762.86,451387.66,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-03X","CMX",0.00,1737453.52,453854.40,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-04L","LW",250.00,1750552.77,451625.93,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-04S","CMS",0.00,1737989.14,455174.90,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-04G","CMG",0.00,1751017.26,452760.28,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-04X","CMX",0.00,1737707.93,455227.02,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-05L","LW",250.00,1750807.17,452998.56,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-05S","CMS",0.00,1738243.54,456547.53,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-05G","CMG",0.00,1751271.66,454132.90,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-05X","CMX",0.00,1737962.33,456599.64,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-06L","LW",250.00,1751061.57,454371.18,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-06S","CMS",0.00,1738497.94,457920.15,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
"E-06G","CMG",0.00,1751526.07,455505.53,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"E-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"E-06X","CMX",0.00,1738216.73,457972.27,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"E-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-04G","CMG",0.00,1717754.63,434272.25,100.45,11726.54,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-04X","CMX",0.00,1729302.80,432232.65,100.45,786.23,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-05L","LW",250.00,1717964.91,434034.13,100.45,11976.78,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-05S","CMS",0.00,1729525.05,430680.55,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-05G","CMG",0.00,1717501.29,432899.43,100.45,12512.78,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-05X","CMX",0.00,1729822.63,430717.15,100.45,960.88,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-06L","LW",250.00,1717711.57,432661.31,100.45,12937.66,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-06S","CMS",0.00,1730216.64,429133.35,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-06G","CMG",0.00,1717247.95,431526.61,100.45,13473.66,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-06X","CMX",0.00,1730514.22,429169.95,100.45,1062.33,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-07L","LW",250.00,1717458.23,431288.49,100.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-07S","CMS",0.00,1731007.99,427567.74,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-07G","CMG",0.00,1716994.61,430153.79,100.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-07X","CMX",0.00,1731289.24,427515.84,100.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"H-08L","LW",250.00,1717204.89,429915.67,100.45,14000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"H-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"H-08S","CMS",0.00,1730754.65,426194.92,10.45,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"H-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"H-08G","CMG",0.00,1716741.26,428780.97,100.45,14536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"H-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"H-08X","CMX",0.00,1731035.90,426143.02,100.45,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"H-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
